country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,0.046049,0.068719,0.316765,0.042572,0.069211,0.018489,0.383852,1991.221117,0.116363,0.025955,0.000000,2019.181134,0.787397
CRI,1,0.052398,0.066401,0.310814,0.041160,0.067301,0.019394,0.375531,1990.629627,0.117457,0.029090,0.000000,2019.419567,0.826555
CRI,1,0.048130,0.070521,0.316945,0.039086,0.069778,0.019203,0.378095,1991.249630,0.118953,0.024666,0.000000,2019.389205,0.836360
CRI,1,0.050083,0.074624,0.287727,0.041934,0.070925,0.019049,0.367694,1992.680825,0.125317,0.025974,0.000000,2019.145393,0.825362
CRI,1,0.047699,0.074127,0.311644,0.039925,0.067315,0.018384,0.368261,1992.015969,0.132260,0.026756,0.000000,2019.434627,0.814630
CRI,1,0.044390,0.066246,0.297501,0.046124,0.061289,0.018808,0.381421,1990.064158,0.129822,0.029495,0.000000,2019.442242,0.873480
CRI,1,0.046918,0.064865,0.335259,0.039595,0.064393,0.019084,0.385276,1989.425213,0.119068,0.027462,0.000000,2019.655371,0.848166
CRI,1,0.047972,0.071297,0.306858,0.043607,0.065910,0.018855,0.358736,1991.154213,0.117996,0.025199,0.000000,2019.782239,0.880883
CRI,1,0.045616,0.062770,0.309602,0.039800,0.057543,0.019191,0.405000,1993.145962,0.131963,0.026047,0.000000,2019.783040,0.830803
CRI,1,0.049987,0.075081,0.337736,0.049509,0.069201,0.018186,0.278921,1992.393670,0.114226,0.030243,0.000000,2018.332700,0.840699
CRI,1,0.048218,0.066042,0.301685,0.037863,0.064381,0.019411,0.421910,1990.868131,0.126353,0.024884,0.000000,2019.961342,0.842284
CRI,1,0.045107,0.071904,0.325488,0.045337,0.067570,0.018588,0.323201,1991.892230,0.118136,0.028559,0.000000,2018.893339,0.841227
CRI,1,0.040764,0.067528,0.311407,0.045041,0.061939,0.018689,0.354930,1991.624249,0.125342,0.029354,0.000000,2019.402852,0.847991
CRI,1,0.041583,0.066093,0.308658,0.048289,0.058248,0.018436,0.343606,1991.810154,0.128660,0.031444,0.000000,2019.409671,0.853847
CRI,1,0.048468,0.066211,0.322347,0.040617,0.064986,0.019006,0.373550,1991.796059,0.127635,0.029536,0.000000,2018.934153,0.799392
CRI,1,0.050054,0.069980,0.310692,0.042843,0.065678,0.018893,0.362414,1991.315696,0.120336,0.026338,0.000000,2019.574579,0.860013
CRI,1,0.041243,0.067799,0.306104,0.042722,0.063698,0.018951,0.339482,1992.122049,0.143529,0.028928,0.000000,2019.329336,0.832297
CRI,1,0.045774,0.066883,0.304409,0.045580,0.061614,0.018748,0.368069,1990.851605,0.127563,0.029425,0.000000,2019.422560,0.860673
CRI,1,0.042987,0.070434,0.318846,0.043565,0.065070,0.019252,0.374744,1990.793946,0.114628,0.027971,0.000000,2019.330906,0.848968
CRI,1,0.043937,0.069673,0.318407,0.045189,0.064715,0.018638,0.338873,1991.758488,0.121687,0.028959,0.000000,2019.150067,0.844605
CRI,1,0.040205,0.068143,0.305241,0.042363,0.061168,0.018979,0.354914,1992.403027,0.119672,0.028452,0.000000,2019.553791,0.860044
CRI,1,0.042201,0.065092,0.310504,0.042353,0.059713,0.018939,0.379622,1992.393804,0.128611,0.027744,0.000000,2019.594173,0.839368
CRI,1,0.041085,0.068120,0.314080,0.043792,0.065510,0.018589,0.369266,1991.423219,0.120771,0.027700,0.000000,2019.292380,0.817306
CRI,1,0.040959,0.066179,0.323222,0.042245,0.063158,0.018886,0.369966,1990.538781,0.122166,0.028423,0.000000,2019.529644,0.848078
CRI,1,0.046036,0.068988,0.316476,0.045386,0.065876,0.018889,0.351389,1991.294956,0.117021,0.028809,0.000000,2019.314738,0.837399
CRI,1,0.040489,0.070731,0.311525,0.042419,0.064591,0.018536,0.361567,1991.820643,0.128756,0.028082,0.000000,2019.418747,0.831197
