CVE_ENT,NOM_ENT,ESTIMADOR,POBTOT,POBFEM,POBMAS,POB0_14,POB15_64,POB65_MAS,P_15A49_F,MEDIANA_POBTOT,INDICE_ENV,RAZON_DEP_TOT,RAZON_DEP_INF,RAZON_DEP_VEJ,PROM_HNV,TGF,PCN_P12YM_SOLT,PCN_P12YM_SOLT_F,PCN_P12YM_CUL,PCN_P12YM_CUL_F,PCN_P12YM_SEPA,PCN_P12YM_SEPA_F,PCN_PRESEUA20
22,Querétaro,Límite superior de confianza,2701907.14,1398490.21,1303979.72,553824.63,1915967.06,237820.57,777510.38,31.88,65.34,42.00,29.56,12.89,1.79,1.13,39.07,36.72,49.95,48.33,11.89,16.07,0.32
22,Querétaro,Coeficiente de variación,2.38,2.38,2.42,2.39,2.48,3.16,2.46,0.63,3.12,1.14,1.29,3.00,0.89,3.54,0.66,0.85,0.64,0.73,1.86,1.89,8.70
23,Quintana Roo,Valor,2095074,1049693,1045381,446490,1533041,115520,622606,30.65,42.23,36.66,29.12,7.54,1.60,1.11,35.93,33.18,52.96,52.57,11.05,14.19,0.20
23,Quintana Roo,Error estándar,106178.82,51371.74,55040.54,25375.86,79226.56,4001.46,33670.91,0.26,2.12,0.42,0.44,0.36,0.02,0.06,0.34,0.45,0.44,0.67,0.23,0.38,0.03
23,Quintana Roo,Límite inferior de confianza,1920393.39,965178,954830.66,404741.52,1402700.68,108936.4,567211.27,30.21,38.74,35.97,28.40,6.94,1.58,1.02,35.38,32.44,52.23,51.47,10.68,13.58,0.16
23,Quintana Roo,Límite superior de confianza,2269754.61,1134208,1135931.34,488238.48,1663381.32,122103.6,678000.73,31.08,45.72,37.35,29.85,8.13,1.63,1.21,36.49,33.93,53.69,53.67,11.43,14.82,0.26
23,Quintana Roo,Coeficiente de variación,5.07,4.89,5.27,5.68,5.17,3.46,5.41,0.86,5.02,1.15,1.50,4.78,0.97,5.02,0.94,1.37,0.84,1.28,2.06,2.66,15.04
24,San Luis Potosí,Valor,2882533,1504015,1378518,645599,1924409,312397,770030,31.54,69.54,49.78,33.55,16.23,2.16,1.35,35.84,33.49,51.51,49.85,12.59,16.62,0.37
24,San Luis Potosí,Error estándar,53151.5,28143.32,25445.89,12037.4,37406.54,6557.55,14915.57,0.17,1.41,0.44,0.33,0.31,0.01,0.03,0.19,0.24,0.25,0.29,0.16,0.21,0.01
24,San Luis Potosí,Límite inferior de confianza,2795103.71,1457721.8,1336661.84,625798.43,1862878.62,301610.31,745495.15,31.27,67.23,49.07,33.01,15.72,2.14,1.29,35.53,33.10,51.10,49.37,12.33,16.28,0.35
24,San Luis Potosí,Límite superior de confianza,2969962.29,1550308.2,1420374.16,665399.57,1985939.38,323183.69,794564.85,31.81,71.86,50.50,34.08,16.75,2.18,1.40,36.16,33.89,51.93,50.33,12.86,16.96,0.39
24,San Luis Potosí,Coeficiente de variación,1.84,1.87,1.85,1.86,1.94,2.1,1.94,0.52,2.02,0.87,0.97,1.93,0.58,2.36,0.54,0.71,0.49,0.58,1.27,1.25,3.44
25,Sinaloa,Valor,3061863,1577098,1484765,642450,2050442,368947,788822,32.91,82.12,49.33,31.33,17.99,2.05,1.26,34.81,31.30,50.15,48.77,14.97,19.87,0.22
25,Sinaloa,Error estándar,53759.95,28312.14,25840.55,13161.35,37868.74,8250.4,16384.29,0.21,2.27,0.47,0.36,0.43,0.01,0.04,0.23,0.31,0.27,0.31,0.21,0.28,0.02
25,Sinaloa,Límite inferior de confianza,2973429.29,1530525.18,1442257.93,620799.55,1988148.75,355375.05,761869.98,32.57,78.38,48.56,30.73,17.28,2.03,1.19,34.43,30.79,49.71,48.26,14.63,19.41,0.19
25,Sinaloa,Límite superior de confianza,3150296.71,1623670.82,1527272.07,664100.45,2112735.25,382518.95,815774.02,33.25,85.86,50.10,31.93,18.71,2.07,1.32,35.19,31.81,50.60,49.28,15.31,20.34,0.25
25,Sinaloa,Coeficiente de variación,1.76,1.8,1.74,2.05,1.85,2.24,2.08,0.63,2.77,0.95,1.16,2.41,0.66,3.34,0.66,0.99,0.54,0.64,1.40,1.43,8.35
26,Sonora,Valor,3028969,1542756,1486213,642975,2071952,314034,801611,31.96,71.14,46.19,31.03,15.16,1.92,1.27,36.77,33.54,48.59,47.73,14.60,18.69,0.45
26,Sonora,Error estándar,58784.46,30399.79,28638.46,14695.43,41621.18,8606.48,17495.94,0.22,2.24,0.51,0.42,0.43,0.01,0.04,0.23,0.31,0.27,0.32,0.22,0.30,0.03
26,Sonora,Límite inferior de confianza,2932273.16,1492750.58,1439104.93,618801.77,2003488.27,299876.74,772831.24,31.59,67.46,45.36,30.34,14.45,1.90,1.20,36.39,33.02,48.15,47.21,14.24,18.20,0.41
26,Sonora,Límite superior de confianza,3125664.84,1592761.42,1533321.07,667148.23,2140415.73,328191.26,830390.76,32.32,74.82,47.02,31.73,15.86,1.95,1.34,37.14,34.06,49.03,48.25,14.96,19.19,0.50
