LocID,ISO3,country,year,un_published,un_method,tfr1,tfr1_0_14,tfr1_65p,un_0_14,un_65p,tfr2025,tfr2025_un
76,BRA,Brazil,2025,212.812405,212.81240699999998,212.81240699999998,41.257134,24.431588000000005,41.257134,24.431588000000005,1.52,1.6001
76,BRA,Brazil,2030,216.074411,216.06490036728226,213.5496081307399,36.4215780775719,29.553708969878876,38.93687031411429,29.553708969878876,1.52,1.6001
76,BRA,Brazil,2035,218.199707,218.14978490982944,211.4190311806489,29.764481476047425,34.17566583811416,36.49523520522798,34.17566583811416,1.52,1.6001
76,BRA,Brazil,2040,219.237084,219.1349215328697,208.3665243361667,23.9982173581041,38.70724026979272,34.76661455480708,38.70724026979272,1.52,1.6001
76,BRA,Brazil,2045,219.026196,218.8590044943474,204.18508961733787,21.119790470200314,43.64745829615787,33.289514428214936,43.64745829615787,1.52,1.6001
76,BRA,Brazil,2050,217.489299,217.2815334127578,198.74737938962988,20.04370415069726,48.75903184471291,31.882314170743776,48.75903184471291,1.52,1.6001
76,BRA,Brazil,2055,214.791954,214.57321942306118,192.03835912511806,18.62282907372457,52.80214400890829,30.458368389658595,52.80214400890829,1.52,1.6001
76,BRA,Brazil,2060,211.038801,210.82900858882758,184.01363717160007,16.788542785951506,55.60406228177705,29.038253833166724,55.60406228177705,1.52,1.6001
76,BRA,Brazil,2065,206.34344099999998,206.1524427123348,174.7472492347649,14.668510845033536,57.97880960021021,27.684749355572954,57.97880960021021,1.52,1.6001
76,BRA,Brazil,2070,200.893056,200.72849483140186,164.55297112413683,12.602382114624769,58.98881428190284,26.4241041825148,58.98881428190284,1.52,1.6001
76,BRA,Brazil,2075,194.89591000000001,194.7368972578426,153.80358229032282,10.938830441005456,58.922879306057645,25.2801801759482,58.922879306057645,1.52,1.6001
76,BRA,Brazil,2080,188.598788,188.4474594451563,142.87351323418704,9.775567256144372,58.62286871607193,24.224027531638885,58.62286871607193,1.52,1.6001
76,BRA,Brazil,2085,182.17776800000001,182.0507694920657,131.94909491659686,8.916199294333857,58.255822902720844,23.200021803066726,58.255822902720844,1.52,1.6001
76,BRA,Brazil,2090,175.78097200000002,175.7020854524956,121.13872498314173,8.092883347892265,57.24779410032011,22.188386325306574,57.24779410032011,1.52,1.6001
76,BRA,Brazil,2095,169.483293,169.45513424160902,110.49599381663005,7.1999422905995285,53.74060915347955,21.202200367361343,56.017513037526676,1.52,1.6001
76,BRA,Brazil,2100,163.364064,163.37423437201087,100.14384505396669,6.302442953700997,48.67815915714665,20.27065455149467,54.716076513975494,1.52,1.6001
152,CHL,Chile,2025,19.859921,19.859922999999995,19.859922999999995,3.286221,2.8975140000000006,3.286221,2.8975140000000006,0.99,1.1267
152,CHL,Chile,2030,20.233183,20.20917897725988,20.112057411889328,2.7920821493818546,3.419342097817753,2.889203714752407,3.419342097817753,0.99,1.1267
152,CHL,Chile,2035,20.45594,20.415051029161898,20.21600256589396,2.372261523428532,3.9509980048454225,2.57130998669647,3.9509980048454225,0.99,1.1267
152,CHL,Chile,2040,20.542103,20.495206120626488,20.178510436832333,2.137756197919652,4.44514674547081,2.4544518817138106,4.44514674547081,0.99,1.1267
152,CHL,Chile,2045,20.499138,20.448892044273883,20.003113980867948,2.0378974880008096,4.901502071052227,2.3867480303514195,4.901502071052227,0.99,1.1267
152,CHL,Chile,2050,20.320306000000002,20.270058332162108,19.68641315102393,1.919915890922631,5.364833488103803,2.304950845888033,5.364833488103803,0.99,1.1267
152,CHL,Chile,2055,19.998262,19.944169696854303,19.214958213984907,1.7838069732862203,5.9013619812550155,2.1971237715375027,5.9013619812550155,0.99,1.1267
152,CHL,Chile,2060,19.536589,19.48297761568046,18.59795211800767,1.6157610658605464,6.425230613981648,2.0562636305929747,6.425230613981648,0.99,1.1267
152,CHL,Chile,2065,18.951112000000002,18.892407915303437,17.838331599303427,1.4236283338478453,6.774268252729912,1.8958282274117735,6.774268252729912,0.99,1.1267
152,CHL,Chile,2070,18.27683,18.213405249236587,16.97824723492541,1.2449784477317236,6.89391245749927,1.7533058481660535,6.89391245749927,0.99,1.1267
152,CHL,Chile,2075,17.549405999999998,17.48026835032517,16.056062687059097,1.111728492311663,6.917643911142252,1.6540766359172805,6.917643911142252,0.99,1.1267
152,CHL,Chile,2080,16.758877000000002,16.683304066529207,15.065652178045621,1.0192029125270483,6.911698756141989,1.5870329831928185,6.911698756141989,0.99,1.1267
152,CHL,Chile,2085,15.928818999999999,15.846348603973045,14.033494822285599,0.9440032406947738,6.769985243569637,1.527486285361623,6.769985243569637,0.99,1.1267
152,CHL,Chile,2090,15.064885,14.974603193588257,12.966769661197507,0.8663851694674969,6.409340230840372,1.4579286196670687,6.409340230840372,0.99,1.1267
152,CHL,Chile,2095,14.224298000000001,14.126827781207384,11.925104645113908,0.7830035759701641,5.916458249553855,1.3779488471446901,6.008568553054605,0.99,1.1267
152,CHL,Chile,2100,13.430616,13.32207294378226,10.928046095928039,0.6981488893387591,5.459842248864752,1.2946045680929679,5.646930235017745,0.99,1.1267
170,COL,Colombia,2025,53.425635,53.425639000000004,53.425639000000004,10.681344999999999,5.449473000000001,10.681344999999999,5.449473000000001,1.01,1.6181
170,COL,Colombia,2030,55.736475,55.66236022248579,54.43113089060965,9.18028146415225,6.8997444587912335,10.41151079602839,6.8997444587912335,1.01,1.6181
170,COL,Colombia,2035,57.445752999999996,57.326383247167016,54.94437425943687,7.665626140392024,8.301743201133922,10.047635128122176,8.301743201133922,1.01,1.6181
170,COL,Colombia,2040,58.576446000000004,58.43344422860587,54.95952726109084,6.036686336296814,9.524810945976833,9.510603303811848,9.524810945976833,1.01,1.6181
170,COL,Colombia,2045,59.190822999999995,59.03613579732831,54.47800085418306,5.712029810547023,10.768782390168496,9.043966512052437,10.768782390168496,1.01,1.6181
170,COL,Colombia,2050,59.385357000000006,59.21530104030385,53.515911183635325,5.28954573199702,12.118691040935346,8.618102439581623,12.118691040935346,1.01,1.6181
170,COL,Colombia,2055,59.252857000000006,59.05891887758366,52.12835228267629,4.762544920950365,13.528459518459744,8.238633483257873,13.528459518459744,1.01,1.6181
170,COL,Colombia,2060,58.833441,58.60674890360696,50.362417783429976,4.17646502405432,15.15267876100362,7.891026648408959,15.15267876100362,1.01,1.6181
170,COL,Colombia,2065,58.131055,57.87563603827651,48.26692927527377,3.612694107562687,16.61302869462722,7.558240638293928,16.61302869462722,1.01,1.6181
170,COL,Colombia,2070,57.12848,56.85345469878308,45.876001948907806,3.1403342974196287,17.63732779460871,7.230876268502631,17.63732779460871,1.01,1.6181
170,COL,Colombia,2075,55.827989,55.54077236999848,43.21517477000627,2.784736554937113,18.112655124268727,6.917914333832516,18.112655124268727,1.01,1.6181
170,COL,Colombia,2080,54.267963,53.96448530889266,40.30606743313356,2.516909675344548,18.09264570697173,6.629075754551335,18.09264570697173,1.01,1.6181
170,COL,Colombia,2085,52.520933,52.194583582076035,37.21080714432818,2.280573448012035,17.819306599096276,6.364022988587974,17.819306599096276,1.01,1.6181
170,COL,Colombia,2090,50.674501,50.33051058463773,34.02822962421655,2.0419025544911444,17.496774825660957,6.117019413357984,17.496774825660957,1.01,1.6181
170,COL,Colombia,2095,48.834469,48.46815188081223,30.864827199975082,1.8065031990749965,15.87450351747212,5.881982964923216,17.026428063087863,1.01,1.6181
170,COL,Colombia,2100,47.080764,46.68723367526419,27.82410493115401,1.5933326375363035,14.342194811873943,5.654976164905214,16.5472460601844,1.01,1.6181
218,ECU,Ecuador,2025,18.289896000000002,18.289894,18.289894,4.371097,1.5722779999999998,4.371097,1.5722779999999998,1.7916,1.7916
218,ECU,Ecuador,2030,19.069719,19.068244090743416,18.789795295429418,3.838739920777257,1.89654422290445,4.117188716091255,1.89654422290445,1.7916,1.7916
218,ECU,Ecuador,2035,19.800128,19.789636499974257,18.96367223768504,3.1287818716230675,2.270546551598145,3.954746133912292,2.270546551598145,1.7916,1.7916
218,ECU,Ecuador,2040,20.43422,20.415015002776617,19.06520724939459,2.5156060696879896,2.686792235047785,3.8654138230700203,2.686792235047785,1.7916,1.7916
218,ECU,Ecuador,2045,20.950628000000002,20.925745915475623,19.068730617901753,2.18503959599063,3.1460936124406227,3.7649293535087947,3.1460936124406227,1.7916,1.7916
218,ECU,Ecuador,2050,21.337237000000002,21.30829692547879,18.94369708011621,2.0886775514420397,3.6627765716172602,3.631242322831868,3.6627765716172602,1.7916,1.7916
218,ECU,Ecuador,2055,21.590749,21.5602739506498,18.665729005028407,1.9261237766819304,4.194011513351428,3.4779018534494908,4.194011513351428,1.7916,1.7916
218,ECU,Ecuador,2060,21.719867999999998,21.685957396061383,18.224378064924924,1.7102066338670583,4.739441417981507,3.325471341862301,4.739441417981507,1.7916,1.7916
218,ECU,Ecuador,2065,21.730188,21.691260951288324,17.6268703970628,1.4761611143070026,5.245705694300844,3.19044774151368,5.245705694300844,1.7916,1.7916
218,ECU,Ecuador,2070,21.625452000000003,21.58058472616218,16.8954028839233,1.2659428436674547,5.660969001326359,3.07493105074355,5.660969001326359,1.7916,1.7916
218,ECU,Ecuador,2075,21.404280999999997,21.35700416673922,16.05434183362833,1.1056935382328128,6.021329938645573,2.9694193858251112,6.021329938645573,1.7916,1.7916
218,ECU,Ecuador,2080,21.074018,21.027394819845505,15.120244865832145,0.9921227303509398,6.288938584007691,2.862870486677107,6.288938584007691,1.7916,1.7916
218,ECU,Ecuador,2085,20.654310000000002,20.608979750579536,14.106590829489791,0.9008905284062834,6.404653716063073,2.753301767385421,6.404653716063073,1.7916,1.7916
218,ECU,Ecuador,2090,20.168411,20.123686824951264,13.032198625504629,0.8101066782774338,6.390895224668316,2.644314573657689,6.390895224668316,1.7916,1.7916
218,ECU,Ecuador,2095,19.641077000000003,19.597640149086008,11.923325011280088,0.7156359294554656,6.077539688553712,2.542714305965796,6.335271251025131,1.7916,1.7916
218,ECU,Ecuador,2100,19.092159,19.04929861334007,10.803388948188006,0.6260192227085694,5.5049357554673355,2.451270132577792,6.265235713957532,1.7916,1.7916
238,FLK,Falkland Islands (Malvinas),2025,0.003469,0.0034779999999999998,0.0034779999999999998,0.0005589999999999999,0.00046,0.0005589999999999999,0.00046,1.6948,1.6948
238,FLK,Falkland Islands (Malvinas),2030,0.003422,0.0034366579580711286,0.003402495667278733,0.000488597965166853,0.0005950536292716985,0.0005227602559592493,0.0005950536292716985,1.6948,1.6948
238,FLK,Falkland Islands (Malvinas),2035,0.003367,0.0033857708182215506,0.0032930884381962163,0.0004011188319477709,0.0007591372766200304,0.0004938012119731054,0.0007591372766200304,1.6948,1.6948
238,FLK,Falkland Islands (Malvinas),2040,0.003317,0.003333001074984657,0.0031844941483910646,0.0002913631628749639,0.0009297321839723022,0.0004398700894685562,0.0009297321839723022,1.6948,1.6948
238,FLK,Falkland Islands (Malvinas),2045,0.003251,0.0032705238309168193,0.003064946060563437,0.000244103932834706,0.0010512546649197026,0.0004156022681642978,0.0010512546649197026,1.6948,1.6948
