RAMO_K,mdp_2026,mdp_2027,dif_nominal,dif_real,var_real_pct,estado,nivel,PP_K,PP_NUM,UR_K,F_K,FN_K,SF_K
37,34.7,29.6,-5.1,-6.5,-17.9,continúa,programa,M001,,,,,
14,29.2,24.7,-4.5,-5.7,-18.7,continúa,programa,F023,,,,,
14,18.6,14.2,-4.4,-5.2,-26.8,continúa,programa,P032,,,,,
10,156.7,152.7,-4.0,-10.3,-6.3,continúa,programa,Q006,,,,,
20,11.5,7.7,-3.8,-4.2,-35.3,continúa,programa,P042,,,,,
35,39.5,35.9,-3.7,-5.2,-12.7,continúa,programa,E017,,,,,
11,259.5,256.1,-3.3,-13.7,-5.1,continúa,programa,O001,,,,,
35,55.9,52.9,-3.1,-5.3,-9.1,continúa,programa,E018,,,,,
35,37.8,34.9,-2.9,-4.4,-11.2,continúa,programa,E013,,,,,
21,162.9,161.0,-1.9,-8.4,-5.0,continúa,programa,P043,,,,,
47,724.6,723.1,-1.5,-30.4,-4.0,continúa,programa,E059,,,,,
35,27.2,25.8,-1.4,-2.5,-8.8,continúa,programa,E023,,,,,
56,2703.8,2702.5,-1.2,-109.4,-3.9,continúa,programa,M001,,,,,
23,12.6,11.4,-1.2,-1.7,-12.9,continúa,programa,R017,,,,,
21,232.3,231.2,-1.1,-10.4,-4.3,continúa,programa,M001,,,,,
02,703.9,702.8,-1.0,-29.2,-4.0,continúa,programa,P002,,,,,
35,20.2,19.2,-1.0,-1.8,-8.7,continúa,programa,E007,,,,,
10,367.3,366.3,-1.0,-15.7,-4.1,continúa,programa,G011,,,,,
35,5.2,4.4,-0.8,-1.0,-18.5,continúa,programa,M002,,,,,
35,11.5,10.8,-0.8,-1.2,-10.3,continúa,programa,E011,,,,,
35,19.9,19.1,-0.8,-1.6,-7.5,continúa,programa,E014,,,,,
06,491.1,490.5,-0.6,-20.2,-4.0,continúa,programa,E007,,,,,
35,14.5,13.9,-0.5,-1.1,-7.4,continúa,programa,E024,,,,,
35,8.0,7.7,-0.3,-0.6,-7.7,continúa,programa,E012,,,,,
GYN,9.9,9.6,-0.3,-0.7,-6.6,continúa,programa,028 ,,,,,
02,45.4,45.2,-0.2,-2.0,-4.3,continúa,programa,P003,,,,,
55,43.1,43.1,-0.0,-1.8,-3.9,continúa,programa,Q014,,,,,
19,0.2,0.2,-0.0,-0.0,-18.7,continúa,programa,J007,,,,,
55,1.8,1.8,-0.0,-0.1,-4.5,continúa,programa,O001,,,,,
16,0.0,0.0,-0.0,-0.0,-24.5,continúa,programa,U001,,,,,
24,0.0,0.0,-0.0,-0.0,-10.6,continúa,programa,D006,,,,,
11,781.5,781.5,-0.0,-31.3,-3.8,continúa,programa,U270,,,,,
06,2879.0,2879.0,0.0,-115.2,-3.8,continúa,programa,F001,,,,,
34,0.0,0.0,0.0,-0.0,-3.8,continúa,programa,D006,,,,,
34,0.0,0.0,0.0,-0.0,-3.8,continúa,programa,D003,,,,,
02,2.1,2.1,0.0,-0.1,-3.8,continúa,programa,P004,,,,,
34,0.0,0.0,0.0,-0.0,-3.8,continúa,programa,D007,,,,,
34,0.0,0.0,0.0,-0.0,-3.8,continúa,programa,D008,,,,,
34,0.0,0.0,0.0,-0.0,-3.8,continúa,programa,D009,,,,,
GYN,0.3,0.3,0.0,-0.0,-3.8,continúa,programa,073 ,,,,,
34,0.0,0.0,0.0,-0.0,-3.8,continúa,programa,D002,,,,,
07,93.5,93.5,0.0,-3.7,-3.8,continúa,programa,Q003,,,,,
34,0.0,0.0,0.0,-0.0,-3.8,continúa,programa,D001,,,,,
08,3787.2,3787.2,0.0,-151.5,-3.8,continúa,programa,S263,,,,,
56,118.6,118.6,0.0,-4.7,-3.8,continúa,programa,O001,,,,,
56,425.4,425.4,0.0,-17.0,-3.8,continúa,programa,Q008,,,,,
56,3695.5,3695.5,0.0,-147.8,-3.8,continúa,programa,U200,,,,,
34,0.0,0.0,0.0,-0.0,-3.8,continúa,programa,D004,,,,,
11,858.5,858.5,0.0,-34.3,-3.8,continúa,programa,U079,,,,,
32,169.0,169.0,0.0,-6.8,-3.8,continúa,programa,M001,,,,,
04,889.1,889.1,0.0,-35.6,-3.8,continúa,programa,U008,,,,,
16,976.2,976.2,0.0,-39.0,-3.8,continúa,programa,S219,,,,,
18,0.0,0.0,0.0,0.0,inf,aparece,programa,G018,,,,,
47,1704.0,1704.1,0.2,-68.0,-3.8,continúa,programa,S249,,,,,
48,55.8,56.0,0.2,-2.1,-3.6,continúa,programa,S057,,,,,
07,101.4,101.6,0.2,-3.8,-3.6,continúa,programa,A016,,,,,
21,44.2,44.6,0.3,-1.4,-3.1,continúa,programa,G020,,,,,
20,7.1,7.5,0.3,0.1,0.7,continúa,programa,O001,,,,,
18,11.6,12.1,0.4,-0.0,-0.2,continúa,programa,O001,,,,,
35,6.9,7.4,0.5,0.2,3.0,continúa,programa,E032,,,,,
31,4.6,5.3,0.8,0.6,12.4,continúa,programa,O001,,,,,
35,3.6,4.8,1.2,1.1,29.1,continúa,programa,E035,,,,,
02,49.1,50.4,1.2,-0.7,-1.4,continúa,programa,M001,,,,,
10,486.0,487.4,1.4,-18.1,-3.6,continúa,programa,M001,,,,,
48,19.2,20.6,1.5,0.7,3.4,continúa,programa,E065,,,,,
21,32.4,34.0,1.7,0.4,1.2,continúa,programa,O001,,,,,
19,61.7,63.6,1.9,-0.6,-1.0,continúa,programa,R010,,,,,
04,0.9,3.0,2.1,2.1,211.7,continúa,programa,O001,,,,,
25,39.0,41.3,2.4,0.8,2.0,continúa,programa,O001,,,,,
35,6.7,9.1,2.4,2.1,30.8,continúa,programa,E036,,,,,
12,44.4,47.0,2.6,0.8,1.8,continúa,programa,S039,,,,,
35,16.4,19.0,2.6,2.0,11.5,continúa,programa,E033,,,,,
35,9.7,12.4,2.7,2.3,23.0,continúa,programa,E026,,,,,
15,87.6,90.3,2.7,-0.8,-0.9,continúa,programa,S213,,,,,
48,64.7,67.5,2.7,0.1,0.2,continúa,programa,P056,,,,,
22,11.0,14.0,3.0,2.6,22.4,continúa,programa,P001,,,,,
47,57.8,60.8,3.0,0.7,1.2,continúa,programa,O001,,,,,
16,28.2,32.4,4.2,3.1,10.4,continúa,programa,O001,,,,,
35,18.7,22.9,4.2,3.4,17.7,continúa,programa,E022,,,,,
04,72.4,76.9,4.5,1.6,2.2,continúa,programa,P007,,,,,
04,76.8,81.5,4.7,1.7,2.1,continúa,programa,P011,,,,,
GYN,13.7,18.7,4.9,4.4,30.8,continúa,programa,019 ,,,,,
04,141.8,146.9,5.0,-0.6,-0.4,continúa,programa,P061,,,,,
12,2990.7,2995.8,5.2,-114.5,-3.7,continúa,programa,P029,,,,,
23,172.9,178.4,5.6,-1.3,-0.7,continúa,programa,R015,,,,,
47,34.4,40.2,5.8,4.4,12.2,continúa,programa,P053,,,,,
49,138.0,143.9,5.9,0.4,0.3,continúa,programa,E004,,,,,
40,100.2,106.5,6.4,2.4,2.3,continúa,programa,O001,,,,,
47,219.4,226.5,7.2,-1.6,-0.7,continúa,programa,E057,,,,,
31,76.3,83.7,7.3,4.3,5.4,continúa,programa,M001,,,,,
07,14.3,21.7,7.4,6.8,45.5,continúa,programa,R006,,,,,
14,2.5,10.0,7.5,7.4,280.3,continúa,programa,O001,,,,,
13,36.7,44.5,7.8,6.3,16.6,continúa,programa,E036,,,,,
06,210.6,218.5,7.9,-0.6,-0.3,continúa,programa,P062,,,,,
23,246.7,254.6,8.0,-1.9,-0.7,continúa,programa,N004,,,,,
15,0.0,8.0,8.0,8.0,inf,aparece,programa,U273,,,,,
04,109.2,117.6,8.4,4.0,3.5,continúa,programa,E001,,,,,
48,143.9,152.3,8.4,2.7,1.8,continúa,programa,E025,,,,,
04,325.6,334.4,8.7,-4.3,-1.3,continúa,programa,P012,,,,,
11,31.1,40.0,8.9,7.7,23.8,continúa,programa,S298,,,,,
04,510.9,520.8,9.9,-10.6,-2.0,continúa,programa,P006,,,,,
21,269.5,279.3,9.9,-0.9,-0.3,continúa,programa,E049,,,,,
11,824.4,834.3,10.0,-23.0,-2.7,continúa,programa,U295,,,,,
22,168.3,178.5,10.2,3.4,2.0,continúa,programa,M002,,,,,
GYN,345.4,355.8,10.5,-3.3,-0.9,continúa,programa,071 ,,,,,
40,340.3,351.1,10.8,-2.8,-0.8,continúa,programa,P001,,,,,
08,34.7,46.1,11.3,9.9,27.5,continúa,programa,O001,,,,,
13,14.3,25.7,11.4,10.9,73.2,continúa,programa,N001,,,,,
47,186.0,197.5,11.5,4.0,2.1,continúa,programa,E058,,,,,
47,1073.2,1084.8,11.6,-31.3,-2.8,continúa,programa,E060,,,,,
04,28.0,39.8,11.9,10.7,36.9,continúa,programa,P013,,,,,
11,165.3,177.3,12.0,5.4,3.1,continúa,programa,E026,,,,,
06,209.7,222.2,12.4,4.0,1.9,continúa,programa,G004,,,,,
25,167.1,179.7,12.5,5.9,3.4,continúa,programa,U001,,,,,
13,69.9,82.6,12.7,9.9,13.7,continúa,programa,E035,,,,,
37,118.4,131.2,12.7,8.0,6.5,continúa,programa,P050,,,,,
35,47.6,60.7,13.1,11.1,22.5,continúa,programa,O001,,,,,
19,343.0,356.7,13.7,0.0,0.0,continúa,programa,U001,,,,,
48,15.1,29.5,14.4,13.8,88.0,continúa,programa,S303,,,,,
10,32.6,47.6,15.0,13.7,40.5,continúa,programa,O001,,,,,
47,90.3,105.9,15.7,12.1,12.8,continúa,programa,P054,,,,,
47,2047.7,2064.8,17.1,-64.8,-3.0,continúa,programa,S178,,,,,
14,323.8,341.2,17.4,4.5,1.3,continúa,programa,S043,,,,,
06,232.5,251.7,19.2,9.9,4.1,continúa,programa,O001,,,,,
11,10.6,30.0,19.4,19.0,172.4,continúa,programa,U081,,,,,
GYN,123.9,143.5,19.6,14.6,11.3,continúa,programa,008 ,,,,,
10,465.4,485.0,19.7,1.1,0.2,continúa,programa,P023,,,,,
36,50.1,71.1,21.0,18.9,36.3,continúa,programa,G022,,,,,
19,615.4,636.6,21.3,-3.3,-0.5,continúa,programa,T003,,,,,
19,187.3,210.0,22.7,15.3,7.8,continúa,programa,R008,,,,,
GYN,346.0,369.1,23.1,9.3,2.6,continúa,programa,313 ,,,,,
35,219.2,244.7,25.6,16.8,7.4,continúa,programa,M001,,,,,
