base,indicator,scenario,period,value,unit
eic2025,pop_6_14,estres,2035,12978394.1118,persons
eic2025,pop_6_14_change_vs_2025,estres,2035,-30.94274980374616,%
eic2025,pop_6_14,estres,2050,7668856.9949,persons
eic2025,pop_6_14_change_vs_2025,estres,2050,-59.194475706775194,%
eic2025,g_l_avg,estres,2025-2035,0.3628525943548011,% per year
eic2025,g_l_avg,estres,2035-2050,-0.9134995569483717,% per year
eic2025,g_l_first_negative_year,estres,,2036.0,year
eic2025,tdr_min_year,inegi,,2035.0,year
eic2025,tdr_min,inegi,,42.319,per 100 aged 15-64
eic2025,span_1pt_start,inegi,,2031.0,year
eic2025,span_1pt_end,inegi,,2036.0,year
eic2025,oadr,inegi,2025,14.6453,per 100 aged 15-64
eic2025,tdr,inegi,2025,46.5662,per 100 aged 15-64
eic2025,ydr,inegi,2025,31.921,per 100 aged 15-64
eic2025,oadr,inegi,2035,20.4483,per 100 aged 15-64
eic2025,tdr,inegi,2035,42.3191,per 100 aged 15-64
eic2025,ydr,inegi,2035,21.8709,per 100 aged 15-64
eic2025,oadr,inegi,2050,34.2405,per 100 aged 15-64
eic2025,tdr,inegi,2050,54.0516,per 100 aged 15-64
eic2025,ydr,inegi,2050,19.811,per 100 aged 15-64
eic2025,tau_payg,inegi,2025,11.582751310472133,% of wage bill
eic2025,tau_payg,inegi,2035,16.172258241342092,% of wage bill
eic2025,tau_payg,inegi,2050,27.080305370748366,% of wage bill
eic2025,pop_6_14,inegi,2025,18793673.4737,persons
eic2025,pop_6_14_change_vs_2025,inegi,2025,0.0,%
eic2025,pop_6_14,inegi,2031,15461118.9818,persons
eic2025,pop_6_14_change_vs_2025,inegi,2031,-17.732320914075707,%
eic2025,pop_6_14,inegi,2035,12692424.2023,persons
eic2025,pop_6_14_change_vs_2025,inegi,2035,-32.464378398071744,%
eic2025,pop_6_14,inegi,2050,10555251.9097,persons
eic2025,pop_6_14_change_vs_2025,inegi,2050,-43.83614292080208,%
eic2025,g_l_avg,inegi,2025-2035,0.37488616649632434,% per year
eic2025,g_l_avg,inegi,2035-2050,-0.6912682414553117,% per year
eic2025,g_l_first_negative_year,inegi,,2036.0,year
