archivo_origen,CVEENT,entidad,beneficiarios,intervenciones,dependencias,padrones,programas,periodo,periodo_cve,trimestre,anio,fecha,entidad_etiqueta,entidad_etq
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,15,MÉXICO,3184619,67358508.0,6,13,10,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,ESTADO DE MÉXICO,Estado de México
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,16,MICHOACÁN DE OCAMPO,1809552,10774184.0,6,11,9,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,MICHOACÁN,Michoacán
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,17,MORELOS,281884,4285358.0,4,10,8,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,MORELOS,Morelos
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,18,NAYARIT,386139,4414902.0,5,11,8,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,NAYARIT,Nayarit
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,19,NUEVO LEÓN,374627,2254519.0,6,11,10,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,NUEVO LEÓN,Nuevo León
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,20,OAXACA,1893669,7746795.0,6,13,11,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,OAXACA,Oaxaca
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,21,PUEBLA,1862258,8709023.0,6,12,10,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,PUEBLA,Puebla
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,22,QUERÉTARO,214907,3008267.0,5,10,8,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,QUERÉTARO,Querétaro
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,23,QUINTANA ROO,106166,1345877.0,4,9,8,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,QUINTANA ROO,Quintana Roo
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,24,SAN LUIS POTOSÍ,1058269,5819460.0,6,11,9,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,SAN LUIS POTOSÍ,San Luis Potosí
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,25,SINALOA,622968,3616263.0,6,12,10,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,SINALOA,Sinaloa
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,26,SONORA,246227,2053385.0,5,11,9,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,SONORA,Sonora
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,27,TABASCO,270814,2585207.0,5,11,9,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,TABASCO,Tabasco
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,28,TAMAULIPAS,557295,2242554.0,4,7,6,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,TAMAULIPAS,Tamaulipas
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,29,TLAXCALA,177131,2972217.0,3,7,6,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,TLAXCALA,Tlaxcala
