archivo_origen,anio,mes,entidad,sexo,modalidad,sector,personas
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Chihuahua,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3334
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Chiapas,H,Todos Los Seguros Prestaciones y Servicios,Organismo Autonomo,3325
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Chiapas,H,Todos Los Seguros Prestaciones y Servicios,Dependencia Federal,3308
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Guerrero,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3306
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Jalisco,M,Todos Los Seguros Prestaciones y Servicios,Dependencia Federal,3260
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Michoacan,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3257
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Morelos,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3231
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Chiapas,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3214
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Oaxaca,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3194
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Aguascalientes,M,Todos Los Seguros Prestaciones y Servicios,Organismo Autonomo,3161
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Coahuila,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3143
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Sinaloa,M,Servicio Medico del Seguro de Salud y Sar,Gobierno Estatal,3139
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Sonora,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3102
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Oaxaca,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3092
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Zacatecas,H,Todos Los Seguros Prestaciones y Servicios,Organismo Autonomo,3039
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Quintana Roo,M,Todos Los Seguros Prestaciones y Servicios,Municipio,3015
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Aguascalientes,H,Todos Los Seguros Prestaciones y Servicios,Organismo Autonomo,3011
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Chihuahua,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3009
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Puebla,H,Todos Los Seguros Prestaciones y Servicios,Dependencia Federal,2968
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Jalisco,H,Todos Los Seguros Prestaciones y Servicios,Dependencia Federal,2952
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Guerrero,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,2944
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Hidalgo,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,2937
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Sonora,M,Todos Los Seguros Prestaciones y Servicios,Dependencia Federal,2917
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Michoacan,H,Todos Los Seguros Prestaciones y Servicios,Dependencia Federal,2892
