anio,cve_geo,entidad,poblacion_total,poblacion_65_mas,edad_escolar_3_14,razon_dependencia
2027,4,Campeche,965051,85868,182782,46.3900
2027,5,Coahuila,3479300,310822,675735,49.2100
2027,6,Colima,775673,79549,127971,43.7500
2027,7,Chiapas,6260822,410637,1562088,61.2700
2027,8,Chihuahua,4128864,376807,739006,45.1000
2027,9,Ciudad de México,9132734,1235550,1123805,40.2700
2027,10,Durango,1950877,178177,394324,50.7000
2027,11,Guanajuato,6640874,560147,1310365,48.6600
2027,12,Guerrero,3603402,343544,788675,57.5700
2027,13,Hidalgo,3366905,322259,611552,46.2400
2027,14,Jalisco,9056773,847478,1699441,48.3100
2027,15,Estado de México,17914087,1630632,3156803,44.2000
2027,16,Michoacán,5131590,480042,1071104,55.0600
2027,17,Morelos,2078005,228104,360925,47.6800
2027,18,Nayarit,1352022,132824,262697,50.5200
2027,19,Nuevo León,6616988,585209,1217139,46.7300
2027,20,Oaxaca,4397325,430125,909757,55.2700
2027,21,Puebla,7226154,600013,1483622,51.9500
2027,22,Querétaro,2746349,219070,495551,43.4500
2027,23,Quintana Roo,2179491,123462,408401,40.4900
2027,24,San Luis Potosí,3024414,295781,579338,50.6900
2027,25,Sinaloa,3227413,335743,581384,48.2600
2027,26,Sonora,3195036,317461,558335,45.9300
2027,27,Tabasco,2477039,213027,482897,48.1200
2027,28,Tamaulipas,3804401,373007,670183,46.0800
2027,29,Tlaxcala,1480840,120528,294274,49.0700
2027,30,Veracruz,8099339,936897,1419974,49.0200
2027,31,Yucatán,2570628,249078,448821,44.6900
2027,32,Zacatecas,1740022,159196,369417,55.4300
2028,1,Aguascalientes,1602622,135868,309171,47.9400
2028,2,Baja California,4297963,364646,705743,40.0300
2028,3,Baja California Sur,956141,74071,169262,41.9300
2028,4,Campeche,967715,89623,178740,45.9500
2028,5,Coahuila,3516975,326838,671176,49.1000
2028,6,Colima,779506,83159,124833,43.4600
2028,7,Chiapas,6333970,427595,1569607,61.0300
2028,8,Chihuahua,4167895,396638,728680,44.8700
2028,9,Ciudad de México,9102136,1279676,1086953,40.4900
2028,10,Durango,1961397,185720,386762,50.1500
2028,11,Guanajuato,6688163,583398,1299384,48.4000
2028,12,Guerrero,3598861,352831,776884,57.2200
2028,13,Hidalgo,3398415,335958,602522,45.8300
2028,14,Jalisco,9127766,881783,1685791,48.1400
2028,15,Estado de México,17998317,1712525,3115356,44.2300
2028,16,Michoacán,5171696,495720,1070470,55.0100
2028,17,Morelos,2087704,237233,355434,47.6100
2028,18,Nayarit,1364872,137844,260633,50.1800
2028,19,Nuevo León,6715612,615217,1223631,46.8700
2028,20,Oaxaca,4424325,442413,904248,55.0600
2028,21,Puebla,7300938,623535,1488714,52.0000
2028,22,Querétaro,2790522,231797,494445,43.2300
2028,23,Quintana Roo,2216846,132397,409462,40.3200
2028,24,San Luis Potosí,3045055,306643,576129,50.6500
2028,25,Sinaloa,3245497,349256,573808,48.1600
2028,26,Sonora,3219940,332704,550300,45.8400
2028,27,Tabasco,2480680,222626,471872,47.7400
2028,28,Tamaulipas,3829141,390389,659541,45.9200
2028,29,Tlaxcala,1496675,126106,294389,49.0400
2028,30,Veracruz,8084145,968400,1386090,48.9000
2028,31,Yucatán,2597784,259273,443470,44.2800
2028,32,Zacatecas,1752321,164675,367694,55.2700
2029,1,Aguascalientes,1619234,142814,305754,47.5900
2029,2,Baja California,4349175,386020,699096,39.9700
2029,3,Baja California Sur,972848,78483,169335,41.8100
2029,4,Campeche,970026,93499,174461,45.5300
2029,5,Coahuila,3553424,343378,665747,48.9800
2029,6,Colima,783071,86857,121707,43.2200
2029,7,Chiapas,6405014,445266,1576616,60.8300
2029,8,Chihuahua,4204699,417209,717898,44.7000
2029,9,Ciudad de México,9068610,1324195,1051773,40.7900
2029,10,Durango,1971134,193486,378806,49.6500
2029,11,Guanajuato,6732826,607610,1287277,48.1900
2029,12,Guerrero,3592828,362401,765069,56.9300
2029,13,Hidalgo,3428676,350248,593720,45.5000
2029,14,Jalisco,9195384,917176,1671534,48.0200
2029,15,Estado de México,18075180,1797184,3074425,44.3200
2029,16,Michoacán,5209919,511927,1069598,55.0100
2029,17,Morelos,2096610,246591,349844,47.5700
2029,18,Nayarit,1377107,143016,258520,49.8900
2029,19,Nuevo León,6812406,646469,1228987,47.0200
2029,20,Oaxaca,4450098,455186,899370,54.9300
2029,21,Puebla,7373350,648080,1494347,52.1000
2029,22,Querétaro,2833525,245117,492820,43.0500
2029,23,Quintana Roo,2253155,141856,409870,40.1700
2029,24,San Luis Potosí,3064653,317913,573017,50.6700
2029,25,Sinaloa,3262282,363098,566248,48.1000
2029,26,Sonora,3243529,348265,542586,45.8000
2029,27,Tabasco,2483584,232521,460789,47.4200
2029,28,Tamaulipas,3851993,408415,648959,45.8200
2029,29,Tlaxcala,1511977,131939,294518,49.0600
2029,30,Veracruz,8066527,1000799,1352793,48.8500
2029,31,Yucatán,2624106,269875,437413,43.8800
2029,32,Zacatecas,1763858,170423,365869,55.1600
2030,1,Aguascalientes,1635311,149960,302148,47.2800
2030,2,Baja California,4398675,408220,692644,39.9800
2030,3,Baja California Sur,989212,83049,169415,41.7600
2030,4,Campeche,972005,97477,170193,45.1800
2030,5,Coahuila,3588772,360356,660127,48.9000
2030,6,Colima,786372,90617,118679,43.0400
2030,7,Chiapas,6474118,463538,1582066,60.6200
2030,8,Chihuahua,4239656,438400,707370,44.6000
2030,9,Ciudad de México,9032705,1368777,1018141,41.1400
2030,10,Durango,1980271,201421,370953,49.2100
2030,11,Guanajuato,6775172,632646,1274053,47.9900
2030,12,Guerrero,3585515,372156,752708,56.6700
2030,13,Hidalgo,3457795,365056,585477,45.2800
2030,14,Jalisco,9259907,953507,1656736,47.9300
2030,15,Estado de México,18144619,1884060,3033579,44.4700
2030,16,Michoacán,5246516,528521,1068525,55.0400
2030,17,Morelos,2104741,256119,344354,47.5900
2030,18,Nayarit,1388767,148321,256593,49.6900
